,Number of support vectors,MSE increase,M,lambda
0,159,5.638913606276219e-06,1,1.0
1,158,-0.0021707932208059333,1,1.0
2,157,-1.7497233325921115,1,1.0
3,156,0.00512365105719681,1,1.0
4,155,4.150929204298656,1,1.0
5,154,-5.145985028320865e-06,1,1.0
6,153,-2.150866058690937,1,1.0
7,152,-5.902016233960694e-06,1,1.0
8,151,4.150940716152618,1,1.0
9,150,-1.943649213842491e-05,1,1.0
10,149,-2.1508392453892924,1,1.0
11,148,-2.3015285227296047,1,1.0
12,147,-2.15085100536718,1,1.0
13,146,-1.2452488910241755e-05,1,1.0
14,145,4.151012650254756,1,1.0
15,144,-4.0054446799331345e-06,1,1.0
16,143,-2.1508730909769795,1,1.0
17,142,-2.301574648571929,1,1.0
18,141,-2.1508728523390914,1,1.0
19,140,-2.3015811840208897,1,1.0
20,139,-2.1508614823907877,1,1.0
21,138,-2.3015539203769393,1,1.0
22,137,-0.4521830166728691,1,1.0
23,136,-2.301569725235389,1,1.0
24,135,-0.45209958623664903,1,1.0
25,134,-2.301555668071522,1,1.0
26,133,-0.451952070712899,1,1.0
27,132,3.3979096672251217,1,1.0
28,131,9.247785042376911,1,1.0
29,130,3.397974648844176,1,1.0
30,129,9.248111923678614,1,1.0
31,128,17.098007670835678,1,1.0
32,127,9.248039477216658,1,1.0
33,126,17.09801714239365,1,1.0
34,125,26.948112232238877,1,1.0
35,124,17.09808708041384,1,1.0
36,123,9.248122528428617,1,1.0
37,122,17.098087450354335,1,1.0
38,121,26.948080741240254,1,1.0
39,120,17.09788324454221,1,1.0
40,119,26.947982236622103,1,1.0
41,118,17.097941107715563,1,1.0
42,117,26.94849763807121,1,1.0
43,116,38.79876386591406,1,1.0
44,115,52.64936698848579,1,1.0
45,114,38.79901159636349,1,1.0
46,113,26.948541577395197,1,1.0
47,112,38.798815299016205,1,1.0
48,111,52.649208254691025,1,1.0
49,110,38.798668077734426,1,1.0
50,109,52.64926788993801,1,1.0
51,108,38.798932972571954,1,1.0
52,107,26.94847495180273,1,1.0
53,106,38.799288741254166,1,1.0
54,105,26.94900031948992,1,1.0
55,104,17.09877000772162,1,1.0
56,103,26.949471868065025,1,1.0
57,102,17.099190384653546,1,1.0
58,101,9.249019020652447,1,1.0
59,100,3.398690834372168,1,1.0
60,99,9.24872664947042,1,1.0
61,98,17.098711297563575,1,1.0
62,97,9.248584942870828,1,1.0
63,96,17.099080230552524,1,1.0
64,95,26.949836271881516,1,1.0
65,94,17.099528568422066,1,1.0
66,93,9.249299674396916,1,1.0
67,92,17.09954071503953,1,1.0
68,91,9.24930393821591,1,1.0
69,90,3.3991081960132874,1,1.0
70,89,-0.450845886341277,1,1.0
71,88,-2.3007147760806674,1,1.0
72,87,-2.150478016825751,1,1.0
73,86,-0.00012537852937555272,1,1.0
74,85,4.1503518238666075,1,1.0
75,84,-0.0001455484108419114,1,1.0
76,83,4.150274716186736,1,1.0
77,82,-0.00013467078509421526,1,1.0
78,81,-2.150431630687919,1,1.0
79,80,-0.00013858797511545617,1,1.0
80,79,4.150266197049589,1,1.0
81,78,10.300809997155604,1,1.0
82,77,18.45147867876708,1,1.0
83,76,28.602244483998398,1,1.0
84,75,40.753147951193576,1,1.0
85,74,28.602279344168984,1,1.0
86,73,40.75315176492558,1,1.0
87,72,28.60217661551463,1,1.0
88,71,18.4513564427617,1,1.0
89,70,10.300740498925286,1,1.0
90,69,4.150216448679274,1,1.0
91,68,-0.0001712689831592229,1,1.0
92,67,-2.150282059108882,1,1.0
93,66,-2.3002530940646437,1,1.0
94,65,-0.4499133369813322,1,1.0
95,64,3.4006873521701237,1,1.0
96,63,-0.449732298968307,1,1.0
97,62,3.4006704843443956,1,1.0
98,61,9.251526813037664,1,1.0
99,60,17.102348307118355,1,1.0
100,59,9.251685196405482,1,1.0
101,58,17.10234387629368,1,1.0
102,57,26.953669325084682,1,1.0
103,56,38.805255627243646,1,1.0
104,55,52.656711234324895,1,1.0
105,54,38.80548304168958,1,1.0
106,53,52.657360514263495,1,1.0
107,52,68.5088075720362,1,1.0
108,51,86.36113705462103,1,1.0
109,50,106.21372744889274,1,1.0
110,49,128.06657877468794,1,1.0
111,48,151.9196918980167,1,1.0
112,47,177.77230048508835,1,1.0
113,46,151.91897475061913,1,1.0
114,45,177.7722956973819,1,1.0
115,44,205.62475795259647,1,1.0
116,43,177.77254464523426,1,1.0
117,42,205.62614561582907,1,1.0
118,41,235.48000786012292,1,1.0
119,40,267.33413948887454,1,1.0
120,39,235.48111483266004,1,1.0
121,38,267.33530481959275,1,1.0
122,37,235.48110834393114,1,1.0
123,36,267.33530333533326,1,1.0
124,35,235.48270371151378,1,1.0
125,34,267.3369882304387,1,1.0
126,33,301.1915361936478,1,1.0
